#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-15T12:46:09 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-15T12:46:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/154/109/table2&-out.max=100000&-out=KOI,Per,Rad,DProb,TProb,Weight,M15	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51540109
#Name: J/AJ/154/109
#Title: California-Kepler Survey (CKS). III. Planet radii (Fulton+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/154/109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/154/109	    IVOID of underlying data collection
#INFO	creator=Fulton B.J.	    First author or institution
#INFO	cites=bibcode:2017AJ....154..109F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/154/109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51540109	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-05-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_154_109_table2:
#Name: J/AJ/154/109/table2
#Title: *Planet detection statistics
#Column	KOI	(F8.2)	Kepler Object Identifier (KOI) of the candidate planet	[ucd=meta.id;meta.main]
#Column	Per	(F11.8)	Kepler candidate orbital period	[ucd=time.period]
#Column	Rad	(F5.2)	Candidate planet radius (R_p_)	[ucd=phys.size.radius]
#Column	DProb	(F6.3)	Detection probability (P_det_)	[ucd=stat.fit.goodness]
#Column	TProb	(F7.4)	Transit probability	[ucd=stat.fit.goodness]
#Column	Weight	(F9.2)	Mean total search completeness (1/w_i_)	[ucd=stat.weight]
#Column	M15	(I3)	Indicates a planet in the NASA's Exoplanet Archive Q1-Q16 KOI catalog (Mullally et al. 2015, Cat. J/ApJS/217/31)	[ucd=meta.number]
KOI	Per	Rad	DProb	TProb	Weight	M15
00714.01	 4.18200253	 2.55	 0.996	 0.0582	    17.25	  0
00717.01	14.70748976	 2.05	 0.959	 0.0349	    29.84	  0
00717.02	 0.90037648	 0.81	 0.873	 0.2249	     5.10	  0
00718.01	 4.58546682	 2.57	 0.996	 0.0738	    13.61	  0
00718.03	47.90352110	 2.48	 0.950	 0.0154	    68.18	  0
00718.02	22.71444582	 3.10	 0.992	 0.0254	    39.71	  0
00720.01	 5.69058452	 3.01	 0.997	 0.0449	    22.34	  0
00720.02	10.04156852	 2.76	 0.994	 0.0307	    32.74	  0
00720.04	 2.79589407	 1.64	 0.974	 0.0721	    14.25	  0
00720.03	18.36972310	 2.66	 0.985	 0.0206	    49.38	  0
00722.01	46.40633580	 2.52	 0.954	 0.0144	    72.68	  0
00958.01	21.76129394	 2.61	 0.981	 0.0176	    58.11	  0
00974.01	53.50583830	 2.05	 0.899	 0.0166	    66.99	  1
00975.01	 2.78582169	 1.35	 0.947	 0.1245	     8.49	  0
00986.02	76.05106510	 1.88	 0.837	 0.0090	   132.67	  1
00986.01	 8.18741090	 2.44	 0.990	 0.0398	    25.36	  1
00987.01	 3.17926292	 1.30	 0.937	 0.0708	    15.08	  0
00988.01	10.38123451	 2.32	 0.984	 0.0297	    34.28	  0
00988.02	24.57081569	 2.19	 0.953	 0.0167	    62.86	  0
00991.01	12.06222443	 1.54	 0.911	 0.0291	    37.76	  0
01002.01	 3.48159251	 1.14	 0.899	 0.0722	    15.41	  0
01050.02	 2.85313364	 1.35	 0.946	 0.0707	    14.96	  0
01113.01	25.93406740	 2.63	 0.978	 0.0231	    44.25	  1
01113.02	83.44633350	 2.83	 0.952	 0.0106	    99.08	  1
01115.01	12.99207337	 2.73	 0.991	 0.0495	    20.39	  0
01116.01	 3.74910006	 1.54	 0.958	 0.0781	    13.36	  0
01118.01	 7.37292311	 1.85	 0.965	 0.0535	    19.38	  0
01128.01	 0.97486893	 1.24	 0.963	 0.1538	     6.75	  0
01145.01	30.58725115	 2.65	 0.974	 0.0182	    56.37	  0
01148.01	11.47610130	 1.83	 0.949	 0.0403	    26.13	  0
01148.02	25.26302680	 1.50	 0.841	 0.0238	    49.88	  0
01150.01	 0.67737516	 1.02	 0.947	 0.2471	     4.27	  0
01151.04	17.45329520	 0.78	 0.237	 0.0224	   188.42	  0
01151.05	21.72028240	 0.84	 0.270	 0.0194	   191.34	  0
01151.02	 7.41086267	 0.98	 0.723	 0.0397	    34.86	  0
01151.03	 5.24972541	 0.68	 0.332	 0.0499	    60.45	  0
01151.01	10.43547805	 1.26	 0.849	 0.0316	    37.30	  0
01165.01	 7.05393612	 2.03	 0.978	 0.0419	    24.39	  0
01165.02	 4.29264638	 0.74	 0.502	 0.0584	    34.09	  0
01169.01	 0.68920979	 1.52	 0.990	 0.2330	     4.33	  0
01215.02	33.00630250	 2.87	 0.981	 0.0262	    38.96	  0
01216.01	11.13125132	 2.20	 0.977	 0.0480	    21.33	  0
01218.01	29.61934210	 1.86	 0.909	 0.0187	    58.90	  0
01275.01	50.28638192	 4.20	 0.996	 0.0149	    67.19	  1
01279.01	14.37457351	 2.05	 0.960	 0.0316	    32.97	  0
01308.01	23.58447697	 3.09	 0.991	 0.0287	    35.15	  0
01315.01	 6.84638908	 1.56	 0.940	 0.0550	    19.36	  0
01344.01	 4.48758907	 1.28	 0.918	 0.0722	    15.09	  0
01353.02	34.54384640	 2.19	 0.939	 0.0157	    67.82	  1
01378.01	19.30096321	 2.18	 0.961	 0.0346	    30.06	  0
01379.01	 5.62153941	 1.33	 0.916	 0.0548	    19.94	  0
01412.01	37.81445140	 3.06	 0.984	 0.0214	    47.39	  0
01438.01	 6.91134416	 2.54	 0.993	 0.0767	    13.12	  0
01442.01	 0.66930969	 1.43	 0.987	 0.2699	     3.75	  0
01444.01	44.93098040	 3.60	 0.992	 0.0197	    51.20	  0
01445.02	54.32557400	 0.92	 0.186	 0.0149	   362.65	  0
01445.01	 7.16892463	 1.51	 0.933	 0.0573	    18.71	  0
01478.01	76.13602028	 5.33	 0.998	 0.0095	   105.75	  1
01528.01	 3.98953967	 1.23	 0.914	 0.0619	    17.68	  0
01530.01	12.98495573	 1.70	 0.931	 0.0331	    32.47	  0
01531.01	 5.69919514	 1.30	 0.908	 0.0541	    20.34	  0
01533.01	 6.24146367	 1.25	 0.890	 0.0476	    23.61	  0
01534.01	20.42228798	 1.80	 0.921	 0.0274	    39.62	  0
01534.02	 7.63846023	 1.16	 0.839	 0.0528	    22.59	  0
01535.01	70.69790610	 1.75	 0.805	 0.0090	   137.68	  1
01536.01	 3.74443900	 1.37	 0.940	 0.1036	    10.28	  0
01576.03	23.33979560	 1.15	 0.655	 0.0209	    72.97	  0
01606.01	 5.08274652	 1.52	 0.946	 0.0529	    19.96	  0
01608.01	 9.17613539	 1.72	 0.946	 0.0442	    23.89	  1
01609.01	41.69799760	 1.98	 0.905	 0.0137	    80.74	  0
01612.01	 2.46502616	 0.66	 0.486	 0.1049	    19.62	  0
01615.01	 1.34059747	 1.17	 0.947	 0.1461	     7.23	  0
01616.01	13.93290318	 1.52	 0.898	 0.0356	    31.31	  1
01616.02	34.77537100	 0.81	 0.153	 0.0193	   337.03	  1
01618.01	 2.36436901	 0.81	 0.748	 0.1318	    10.14	  0
01619.01	20.66551440	 0.70	 0.115	 0.0172	   507.85	  0
01621.01	20.31050100	 2.18	 0.959	 0.0353	    29.54	  0
01628.01	19.74732846	 2.56	 0.981	 0.0251	    40.54	  1
01628.02	 1.77244975	 1.03	 0.910	 0.1254	     8.76	  1
01629.01	 4.40966548	 1.66	 0.964	 0.0860	    12.06	  0
01632.01	 4.59489604	 1.55	 0.953	 0.0842	    12.46	  0
01647.01	14.97020810	 2.43	 0.981	 0.0366	    27.83	  0
01647.02	32.27521180	 2.18	 0.941	 0.0219	    48.41	  0
01647.03	 6.33027476	 1.30	 0.901	 0.0650	    17.07	  0
01655.01	 0.93846683	 1.40	 0.979	 0.1684	     6.07	  0
01665.02	 5.91393977	 1.38	 0.922	 0.0704	    15.40	  0
01665.01	 6.93366476	 1.69	 0.953	 0.0634	    16.56	  0
01692.02	 2.46106655	 0.89	 0.817	 0.0924	    13.25	  0
01695.01	71.45177750	 2.26	 0.909	 0.0137	    80.49	  1
01706.01	 1.92143740	 1.44	 0.966	 0.0983	    10.53	  0
01726.01	44.96417488	 2.12	 0.919	 0.0107	   101.42	  0
01738.01	 4.16789251	 1.17	 0.897	 0.0609	    18.29	  0
01754.01	15.13591895	 1.92	 0.947	 0.0309	    34.17	  0
01779.01	 4.66271906	 4.35	 1.000	 0.0621	    16.10	  0
01779.02	11.81500130	 3.39	 0.997	 0.0334	    30.01	  0
01781.01	 7.83442788	 3.46	 0.998	 0.0353	    28.40	  1
01781.02	 3.00515570	 1.99	 0.990	 0.0668	    15.12	  1
01797.01	16.78176602	 2.44	 0.979	 0.0214	    47.83	  0
01802.01	 5.24867263	 2.73	 0.996	 0.0560	    17.91	  0
01803.01	 4.53928769	 2.20	 0.991	 0.0503	    20.06	  0
01805.02	31.78209253	 2.32	 0.953	 0.0152	    69.10	  0
01805.03	 4.36274436	 1.64	 0.963	 0.0571	    18.21	  0
01805.01	 6.94135962	 2.65	 0.995	 0.0419	    24.02	  0
01806.03	 8.37160502	 1.26	 0.871	 0.0487	    23.60	  0
01808.01	89.19347050	 3.38	 0.976	 0.0091	   112.99	  1
01809.01	13.09390510	 2.25	 0.976	 0.0319	    32.17	  0
01813.01	 9.76788050	 2.10	 0.974	 0.0325	    31.57	  0
01818.01	16.87727414	 2.57	 0.984	 0.0231	    44.09	  0
01819.01	12.05707239	 1.97	 0.960	 0.0281	    37.14	  0
01820.01	 4.33722404	 1.67	 0.965	 0.0559	    18.54	  0
01820.02	 1.65389346	 1.01	 0.910	 0.1062	    10.34	  0
01824.02	 1.67832545	 1.35	 0.962	 0.1297	     8.02	  0
01824.01	 3.55382967	 1.54	 0.959	 0.0786	    13.26	  0
01825.01	13.52251060	 2.20	 0.972	 0.0259	    39.73	  0
01831.02	 4.38536461	 1.21	 0.904	 0.0573	    19.31	  1
01831.03	34.20693950	 1.24	 0.648	 0.0146	   106.00	  0
01831.04	13.97946561	 1.66	 0.922	 0.0265	    41.00	  1
01835.01	 4.58033862	 1.46	 0.943	 0.0523	    20.27	  0
01835.03	 6.76689811	 1.26	 0.888	 0.0404	    27.91	  0
01835.02	 2.24828854	 1.33	 0.951	 0.0841	    12.49	  0
01837.01	34.17317140	 2.08	 0.929	 0.0139	    77.65	  0
01837.02	 1.68293460	 1.03	 0.913	 0.1032	    10.61	  0
01839.02	80.41129530	 2.32	 0.909	 0.0081	   135.33	  1
01841.01	49.60773310	 2.03	 0.902	 0.0107	   104.05	  0
01852.01	15.77382210	 2.24	 0.970	 0.0321	    32.07	  0
01854.01	43.03422720	 2.13	 0.923	 0.0131	    82.57	  0
01856.01	46.29880210	 2.48	 0.951	 0.0113	    92.99	  0
01860.01	 6.31942727	 2.50	 0.993	 0.0497	    20.24	  1
01860.02	12.20945351	 2.41	 0.984	 0.0321	    31.69	  1
01860.03	 3.07645208	 1.60	 0.969	 0.0804	    12.85	  1
01860.04	24.84350990	 1.40	 0.804	 0.0200	    62.29	  1
01862.01	56.43499380	 2.55	 0.948	 0.0122	    86.78	  1
01863.01	33.78882491	 2.86	 0.981	 0.0173	    58.88	  0
01878.01	40.80957622	 2.78	 0.973	 0.0174	    59.06	  0
01883.01	 2.70730672	 1.29	 0.940	 0.1213	     8.77	  0
01886.01	 5.99185702	 1.97	 0.978	 0.0683	    14.97	  0
01890.01	 4.33642933	 1.49	 0.949	 0.0843	    12.51	  0
01893.01	 3.55485691	 1.70	 0.973	 0.0820	    12.54	  0
01898.01	 6.49801525	 1.57	 0.943	 0.0543	    19.54	  0
01901.01	85.65358490	 2.74	 0.945	 0.0102	   103.62	  1
01904.01	12.43931193	 1.28	 0.835	 0.0259	    46.18	  0
01905.01	 7.62634063	 1.24	 0.871	 0.0345	    33.25	  0
01905.02	15.99561140	 1.11	 0.692	 0.0211	    68.57	  0
01905.03	34.21130540	 1.21	 0.621	 0.0127	   126.87	  0
01909.01	12.75802811	 1.44	 0.886	 0.0316	    35.75	  0
01909.02	 5.47033694	 1.08	 0.834	 0.0555	    21.61	  0
01909.03	25.09852783	 1.46	 0.828	 0.0201	    60.07	  0
01913.01	 5.50860439	 1.35	 0.920	 0.0509	    21.35	  0
01915.02	67.84507710	 2.93	 0.966	 0.0166	    62.48	  1
01916.01	20.67879355	 2.17	 0.957	 0.0243	    43.04	  0
01916.02	 9.59993139	 1.86	 0.958	 0.0405	    25.78	  0
01916.03	 2.02482034	 0.95	 0.873	 0.1143	    10.03	  0
01917.01	35.01198785	 2.42	 0.957	 0.0172	    60.77	  0
01921.01	16.00494214	 2.59	 0.985	 0.0325	    31.25	  0
01923.01	 7.23400469	 2.12	 0.982	 0.0420	    24.27	  0
01925.01	68.95860800	 1.03	 0.259	 0.0097	   398.59	  1
01928.01	63.03811210	 2.81	 0.961	 0.0114	    91.16	  1
01929.02	 3.29276965	 1.54	 0.962	 0.1241	     8.38	  0
01929.01	 9.69315566	 2.10	 0.975	 0.0604	    16.98	  0
01930.01	13.72707449	 2.38	 0.981	 0.0470	    21.67	  0
01930.02	24.31113990	 2.30	 0.961	 0.0321	    32.38	  0
01938.01	96.91514960	 2.15	 0.871	 0.0065	   177.74	  1
01944.01	12.18416331	 2.20	 0.975	 0.0300	    34.21	  0
01947.01	 6.42294697	 3.08	 0.997	 0.0835	    12.01	  0
01951.01	37.32294930	 2.10	 0.927	 0.0177	    60.91	  0
01955.01	15.17026179	 2.10	 0.962	 0.0345	    30.15	  0
01955.03	 1.64422461	 0.96	 0.893	 0.1516	     7.39	  0
01955.04	26.23484780	 1.84	 0.913	 0.0239	    45.79	  0
01960.02	23.22181890	 2.02	 0.940	 0.0276	    38.56	  0
01961.01	 1.90780520	 0.96	 0.880	 0.0962	    11.82	  0
01964.01	 2.22932479	 0.69	 0.570	 0.0946	    18.56	  0
01979.01	 2.71407755	 1.41	 0.954	 0.0975	    10.75	  0
01984.01	22.06406230	 2.50	 0.976	 0.0252	    40.59	  0
02001.01	 8.27744313	 1.09	 0.788	 0.0349	    36.36	  0
02002.01	14.37508035	 1.69	 0.924	 0.0290	    37.27	  0
02004.01	56.18868870	 2.40	 0.937	 0.0144	    74.23	  1
02004.02	 3.18897601	 1.06	 0.880	 0.0974	    11.67	  1
02004.03	 1.72109431	 0.79	 0.770	 0.1469	     8.85	  0
02007.02	21.12845690	 1.42	 0.833	 0.0229	    52.44	  0
02007.01	15.37875460	 1.53	 0.894	 0.0283	    39.55	  0
02009.01	86.74892890	 2.31	 0.903	 0.0087	   127.47	  1
02010.01	25.96200249	 2.68	 0.980	 0.0243	    41.94	  0
02011.02	17.26546440	 1.13	 0.698	 0.0292	    49.13	  0
02011.01	 7.05675289	 1.41	 0.918	 0.0530	    20.57	  0
02017.01	 2.29503623	 1.22	 0.936	 0.0894	    11.94	  0
02029.02	10.05545337	 0.93	 0.596	 0.0299	    56.19	  0
02029.03	 6.88729828	 0.69	 0.297	 0.0384	    87.56	  0
02029.04	 4.78850157	 0.63	 0.260	 0.0490	    78.40	  0
02029.01	16.33269854	 1.31	 0.819	 0.0216	    56.49	  0
02033.01	16.54080322	 1.51	 0.885	 0.0215	    52.63	  0
02043.01	78.54616380	 3.43	 0.981	 0.0114	    89.29	  1
02046.01	23.89902960	 2.48	 0.973	 0.0294	    35.00	  0
02047.01	 6.22161470	 1.52	 0.939	 0.0547	    19.47	  0
02049.01	 1.56906650	 1.73	 0.989	 0.1655	     6.11	  0
02053.01	13.12163551	 1.98	 0.958	 0.0384	    27.22	  0
02053.02	 4.61268045	 1.59	 0.956	 0.0770	    13.58	  0
02071.01	 3.85691855	 1.06	 0.862	 0.0624	    18.59	  0
02072.01	 1.54320660	 1.26	 0.954	 0.1636	     6.41	  0
02079.01	 0.69384285	 0.75	 0.859	 0.2266	     5.14	  0
02082.01	31.58889520	 2.71	 0.976	 0.0215	    47.66	  0
02083.01	 7.72084349	 1.89	 0.967	 0.0468	    22.09	  0
02086.02	 8.91902447	 2.09	 0.976	 0.0548	    18.69	  1
02086.03	11.89849320	 1.75	 0.940	 0.0452	    23.51	  1
02087.01	23.12748644	 1.37	 0.804	 0.0214	    58.05	  0
02098.02	89.72229200	 2.10	 0.869	 0.0103	   112.22	  1
02098.01	25.08246260	 2.07	 0.942	 0.0240	    44.27	  1
02105.01	 6.42200058	 1.37	 0.915	 0.0506	    21.58	  0
02109.01	19.79191978	 3.14	 0.993	 0.0340	    29.65	  0
02110.01	 5.03728015	 1.25	 0.905	 0.0726	    15.22	  0
02119.01	 0.57103852	 1.32	 0.983	 0.2108	     4.83	  0
02120.01	 8.77426218	 1.21	 0.844	 0.0324	    36.63	  0
02135.01	55.18666950	 2.82	 0.966	 0.0160	    64.64	  1
02135.02	20.18900970	 1.57	 0.883	 0.0313	    36.19	  1
02135.03	 8.48653576	 1.62	 0.939	 0.0558	    19.10	  1
02137.01	14.97435694	 1.33	 0.836	 0.0238	    50.35	  0
02143.01	 4.79028459	 1.15	 0.879	 0.0566	    20.12	  0
02148.01	11.93208690	 2.38	 0.984	 0.0511	    19.90	  0
02148.02	 7.54233911	 1.88	 0.967	 0.0694	    14.91	  0
02148.03	 3.61461353	 1.39	 0.943	 0.1133	     9.36	  0
02153.01	59.98105860	 2.17	 0.909	 0.0134	    82.03	  1
02153.02	25.74575290	 1.58	 0.864	 0.0236	    49.10	  1
02158.01	 4.56204856	 0.84	 0.649	 0.0584	    26.36	  0
02158.02	 6.68228463	 0.64	 0.210	 0.0453	   105.03	  0
02159.01	 7.59665826	 1.18	 0.846	 0.0448	    26.39	  0
02169.01	 5.45298175	 0.88	 0.673	 0.0497	    29.89	  0
02169.02	 3.26661204	 0.67	 0.435	 0.0699	    32.89	  0
02169.03	 4.27225316	 0.67	 0.361	 0.0585	    47.33	  0
02169.04	 2.19250988	 0.40	 0.053	 0.0912	   207.51	  0
02173.01	37.81562190	 1.21	 0.604	 0.0120	   137.48	  1
02194.01	34.76299230	 2.20	 0.940	 0.0193	    55.17	  1
02194.02	67.96870260	 2.00	 0.874	 0.0123	    92.76	  1
02202.01	 0.81316672	 1.22	 0.966	 0.1812	     5.71	  0
02208.01	 2.34451194	 0.95	 0.858	 0.1150	    10.13	  0
02219.01	 3.75729160	 1.26	 0.922	 0.0588	    18.44	  0
02246.01	11.89520511	 1.20	 0.806	 0.0302	    41.14	  0
02252.01	13.53962930	 2.07	 0.963	 0.0477	    21.75	  0
02260.01	 6.11786898	 1.11	 0.840	 0.0656	    18.13	  0
02261.01	 3.97599768	 1.19	 0.904	 0.0564	    19.61	  0
02261.02	 6.62547810	 0.88	 0.621	 0.0401	    40.15	  0
02273.01	 6.11009134	 1.03	 0.794	 0.0609	    20.69	  0
02278.01	14.17220432	 2.23	 0.973	 0.0390	    26.35	  0
02278.02	 4.92031217	 1.24	 0.902	 0.0790	    14.03	  0
02279.02	12.50945250	 1.59	 0.917	 0.0377	    28.92	  0
02279.01	27.01417830	 2.16	 0.947	 0.0226	    46.78	  0
02281.01	 0.76985360	 0.90	 0.921	 0.1727	     6.29	  1
02289.01	62.78450020	 2.29	 0.920	 0.0124	    87.42	  1
02289.02	20.09842150	 1.56	 0.880	 0.0266	    42.75	  1
02295.01	16.29081738	 0.61	 0.068	 0.0236	   621.48	  0
02300.01	 2.68505749	 1.25	 0.936	 0.0719	    14.86	  0
02319.01	21.10325899	 1.71	 0.907	 0.0256	    43.02	  0
02331.01	 2.83265213	 1.54	 0.965	 0.1151	     9.00	  0
02333.01	 3.93087100	 1.14	 0.892	 0.0775	    14.47	  0
02333.02	 7.63006848	 1.33	 0.896	 0.0498	    22.42	  0
02335.01	16.22371307	 1.62	 0.907	 0.0262	    42.16	  0
02342.01	15.04471980	 1.16	 0.742	 0.0323	    41.78	  0
02352.01	13.39152873	 0.94	 0.547	 0.0388	    47.13	  0
02352.02	 5.62902579	 0.88	 0.657	 0.0691	    22.04	  0
02352.03	 8.25630250	 0.88	 0.570	 0.0535	    32.78	  0
02358.01	56.49322690	 3.34	 0.984	 0.0168	    60.59	  1
02365.01	35.96823440	 2.36	 0.952	 0.0208	    50.49	  1
02366.01	25.36911600	 1.32	 0.761	 0.0227	    57.97	  0
02367.01	 6.89208596	 1.46	 0.927	 0.0655	    16.46	  0
02372.01	 5.34982412	 1.32	 0.915	 0.0748	    14.61	  0
02389.01	22.92212660	 1.80	 0.915	 0.0291	    37.59	  0
02390.01	16.10467749	 2.17	 0.965	 0.0463	    22.39	  0
02399.01	 1.91694425	 0.79	 0.762	 0.0902	    14.56	  0
02403.01	13.32351601	 1.32	 0.847	 0.0351	    33.65	  0
02407.01	17.29234530	 2.04	 0.953	 0.0339	    30.96	  0
02408.01	94.28875770	 2.13	 0.870	 0.0074	   154.42	  1
02414.01	22.59659990	 1.67	 0.894	 0.0295	    37.84	  0
02414.02	45.34852770	 1.80	 0.868	 0.0186	    62.03	  0
02426.01	 4.16055856	 0.79	 0.593	 0.0633	    26.63	  0
02440.01	 4.86638150	 1.68	 0.963	 0.0787	    13.20	  0
02443.01	 6.79164786	 1.08	 0.810	 0.0513	    24.08	  0
02443.02	11.83772610	 1.07	 0.713	 0.0354	    39.62	  0
02484.01	68.88619150	 1.42	 0.644	 0.0120	   129.80	  1
02486.01	 4.26795346	 1.62	 0.961	 0.0845	    12.31	  0
02488.01	12.41277540	 1.60	 0.919	 0.0440	    24.74	  0
02492.01	 0.98494017	 0.89	 0.902	 0.1758	     6.31	  0
02498.02	13.06004220	 0.83	 0.381	 0.0258	   101.65	  0
02498.01	 6.73811219	 0.80	 0.504	 0.0401	    49.47	  0
02503.01	14.82004540	 1.04	 0.642	 0.0232	    67.02	  0
02522.01	 5.60401852	 1.20	 0.883	 0.0453	    24.97	  0
02530.01	37.33315360	 2.36	 0.951	 0.0238	    44.22	  0
02534.01	 3.02559550	 1.39	 0.949	 0.0918	    11.48	  0
02534.02	 5.42200756	 1.18	 0.879	 0.0622	    18.29	  0
02538.01	39.83131530	 1.44	 0.758	 0.0115	   115.14	  0
02545.01	 6.98152703	 1.12	 0.830	 0.0753	    16.01	  0
02547.01	 8.94343618	 1.61	 0.935	 0.0417	    25.65	  0
02555.01	12.57200950	 1.18	 0.789	 0.0350	    36.18	  0
02556.01	40.83650120	 1.48	 0.773	 0.0127	   101.93	  0
02559.01	 9.30989826	 1.25	 0.854	 0.0439	    26.67	  0
02561.01	 3.23941344	 1.27	 0.931	 0.1039	    10.34	  0
02563.01	23.47741010	 2.31	 0.963	 0.0332	    31.28	  0
02563.02	 6.26139139	 1.34	 0.912	 0.0801	    13.69	  0
02564.01	66.55790570	 2.22	 0.909	 0.0147	    74.84	  1
02581.01	12.73726137	 1.00	 0.634	 0.0304	    51.87	  0
02583.01	 3.03266154	 0.70	 0.518	 0.0826	    23.39	  0
02585.01	 5.34185804	 0.87	 0.655	 0.0572	    26.72	  0
02585.02	10.42312041	 0.95	 0.614	 0.0366	    44.45	  0
02585.03	 7.87840906	 0.77	 0.400	 0.0441	    56.65	  0
02590.02	22.78889750	 1.30	 0.771	 0.0347	    37.40	  0
02593.01	14.79674580	 1.10	 0.699	 0.0348	    41.13	  0
02595.01	 9.18247194	 1.24	 0.854	 0.0468	    25.05	  0
02595.02	14.61342510	 1.15	 0.745	 0.0343	    39.11	  0
02603.01	73.71163400	 1.84	 0.829	 0.0138	    87.15	  1
02608.01	 2.76122421	 1.09	 0.901	 0.1017	    10.91	  0
02623.01	 5.57654784	 1.24	 0.894	 0.0776	    14.42	  0
02631.01	44.99774780	 1.50	 0.771	 0.0165	    78.47	  0
02632.01	 7.12811928	 1.14	 0.836	 0.0697	    17.16	  0
02635.01	22.24190920	 1.29	 0.768	 0.0324	    40.25	  0
02636.01	 3.88151335	 0.71	 0.464	 0.0720	    29.90	  0
02641.01	 3.55559864	 1.29	 0.930	 0.1093	     9.83	  0
02657.01	 5.22404435	 0.59	 0.184	 0.0507	   107.47	  0
02668.01	 0.67933627	 1.40	 0.985	 0.1943	     5.23	  0
02672.02	42.99255302	 3.15	 0.985	 0.0130	    78.40	  1
02674.02	11.17269940	 1.31	 0.860	 0.0498	    23.35	  1
02674.03	 2.53573424	 1.30	 0.943	 0.1339	     7.92	  1
02675.01	 5.44832529	 2.22	 0.990	 0.0512	    19.72	  0
02675.02	 1.11612900	 1.03	 0.933	 0.1475	     7.27	  0
02678.01	 3.83309118	 1.83	 0.980	 0.0600	    17.00	  0
02687.01	 1.71683172	 0.78	 0.761	 0.1145	    11.48	  0
02687.02	 8.16735028	 1.02	 0.740	 0.0405	    33.37	  0
02698.01	87.97321360	 3.96	 0.989	 0.0101	    99.80	  1
02706.01	 3.09758763	 1.44	 0.953	 0.1093	     9.60	  0
02711.02	17.34088462	 1.39	 0.844	 0.0257	    46.18	  0
02711.01	 9.02439889	 1.56	 0.929	 0.0397	    27.14	  0
02712.01	 7.50784391	 1.90	 0.968	 0.0602	    17.15	  0
02714.01	14.38338734	 2.15	 0.968	 0.0440	    23.47	  1
02717.01	 0.92990668	 1.34	 0.974	 0.2092	     4.91	  0
02720.01	 6.57158198	 1.21	 0.874	 0.0722	    15.85	  0
02722.03	 4.02875481	 1.19	 0.903	 0.0728	    15.21	  0
02722.04	 8.92116020	 1.18	 0.832	 0.0428	    28.05	  0
02722.05	16.53390990	 1.13	 0.706	 0.0284	    49.88	  0
02729.01	14.88801098	 1.63	 0.914	 0.0279	    39.24	  0
02730.01	 4.52158888	 1.38	 0.934	 0.0829	    12.93	  0
02732.01	 7.03144308	 1.65	 0.949	 0.0712	    14.79	  1
02732.02	13.61159129	 1.65	 0.922	 0.0459	    23.65	  1
02732.04	24.56077630	 1.31	 0.763	 0.0309	    42.35	  1
02732.03	54.28120310	 2.15	 0.912	 0.0182	    60.13	  1
02733.01	 5.62005172	 1.03	 0.804	 0.0425	    29.28	  0
02743.01	11.87456832	 1.37	 0.873	 0.0296	    38.71	  0
02753.01	 0.93511806	 1.22	 0.963	 0.2425	     4.28	  0
02754.01	 1.34155513	 0.81	 0.828	 0.1449	     8.34	  0
02755.01	 8.48293296	 0.82	 0.466	 0.0398	    53.90	  0
02785.01	 4.76830490	 1.84	 0.975	 0.0673	    15.24	  0
02786.01	44.61695570	 2.30	 0.938	 0.0189	    56.46	  0
02790.01	14.00947528	 1.00	 0.613	 0.0244	    66.82	  0
02792.01	 2.12823928	 0.67	 0.551	 0.1277	    14.22	  0
02801.01	 6.99205491	 0.86	 0.587	 0.0646	    26.40	  0
02803.01	 2.37752807	 0.62	 0.414	 0.1023	    23.61	  0
02805.01	 1.87788275	 0.81	 0.780	 0.1258	    10.20	  0
02815.01	 1.54539276	 0.89	 0.864	 0.1446	     8.00	  0
02829.01	10.61345435	 1.79	 0.948	 0.0485	    21.75	  0
02833.01	 1.79187687	 0.77	 0.744	 0.1235	    10.88	  0
02838.01	 7.69993485	 1.31	 0.890	 0.0639	    17.58	  0
02838.02	 4.77468005	 1.09	 0.854	 0.0879	    13.33	  0
02840.01	 3.67934645	 1.56	 0.960	 0.1169	     8.91	  0
02840.02	 7.44647300	 1.47	 0.925	 0.0731	    14.79	  0
